number,value,datetime_start,datetime_complete,duration,params_N_TRAINING_EPISODES,params_N_VALIDATION_TASKS,params_augmentation,params_epochs,params_learning_rate,params_optimizer,state
0,87.75393419170243,2024-10-09 01:09:25.185814,2024-10-09 01:09:25.185816,0 days 00:00:00.000002,3575,466,False,4,0.0053340722779981,Adam,COMPLETE
1,93.51063829787236,2024-10-09 01:09:25.186069,2024-10-09 01:09:25.186071,0 days 00:00:00.000002,6870,470,False,3,0.0050556147239402,SGD,COMPLETE
2,84.94285714285714,2024-10-09 01:09:25.186217,2024-10-09 01:09:25.186218,0 days 00:00:00.000001,1975,350,False,2,0.0096174282789335,Adam,COMPLETE
3,89.84699453551913,2024-10-09 01:09:25.186341,2024-10-09 01:09:25.186342,0 days 00:00:00.000001,1055,305,False,5,0.0067481330533173,SGD,COMPLETE
4,88.90322580645162,2024-10-09 01:09:25.186459,2024-10-09 01:09:25.186460,0 days 00:00:00.000001,1896,155,False,1,0.0002777418901454,SGD,COMPLETE
5,92.69438029253271,2024-10-09 01:09:25.189194,2024-10-09 04:34:13.567864,0 days 03:24:48.378670,4749,433,True,4,0.006378433062291335,SGD,COMPLETE
6,83.73831775700934,2024-10-10 03:52:13.184,2024-10-10 04:06:01.713,0 days 00:13:48.529,1023,428,True,1,0.0013470763232172364,Adam,COMPLETE
7,93.40408805031447,2024-10-10 04:06:01.713,2024-10-10 09:01:55.053,0 days 04:55:53.340,6812,424,True,4,0.005393085505232258,SGD,COMPLETE
8,93.73287671232876,2024-10-10 09:01:55.053,2024-10-10 12:31:06.476,0 days 03:29:11.423,6517,292,False,3,0.0017562417039721412,SGD,COMPLETE
9,90.49608355091384,2024-10-10 16:03:04.633,2024-10-10 16:48:01.372,0 days 00:44:56.739,3782,383,True,1,0.003440154101438331,SGD,COMPLETE
10,88.35924006908463,2024-10-10 16:48:01.372,2024-10-10 19:55:24.142,0 days 03:07:22.770,5573,193,False,3,0.002552955114901878,Adam,COMPLETE
11,93.69623655913979,2024-10-10 19:55:24.142,2024-10-11 00:06:13.373,0 days 04:10:49.231,7780,248,False,3,0.003484306083424081,SGD,COMPLETE
12,94.65773652568295,2024-09-29 13:49:48.519,2024-09-29 15:26:23.392,0 days 01:36:34.873,3180,499,True,3,1.4637543182741935e-05,Adam,COMPLETE
13,92.13379469434832,2024-09-29 15:26:23.392,2024-09-29 20:07:20.557,0 days 04:40:57.165,6735,255,False,5,8.383487027940782e-05,SGD,COMPLETE
14,92.52107279693486,2024-09-29 20:07:20.557,2024-09-29 21:57:54.831,0 days 01:50:34.274,7956,145,True,1,0.0002525815345940793,Adam,COMPLETE
15,93.84496124031008,2024-10-10 16:32:24.609,2024-10-10 20:49:05.325,0 days 04:16:40.716,6045,215,False,4,0.005178520943511209,SGD,COMPLETE
16,90.0,2024-10-10 20:49:05.325,2024-10-11 01:07:52.794,0 days 04:18:47.469,4858,121,True,5,0.0027754474948364317,Adam,COMPLETE
